pair_id,group_id,expert_label,split
PUB-0065,d26ced3a722703ef,ExpertA,train
PUB-0066,d26ced3a722703ef,ExpertA,train
PUB-0067,d26ced3a722703ef,ExpertA,train
PUB-0068,d26ced3a722703ef,ExpertA,train
PUB-0317,f693834b27a84e83,ExpertA,train
PUB-0318,f693834b27a84e83,ExpertA,train
PUB-0319,f693834b27a84e83,ExpertA,train
PUB-0320,f693834b27a84e83,ExpertA,train
PUB-0209,82fde23caaec3834,ExpertA,train
PUB-0210,82fde23caaec3834,ExpertA,train
PUB-0211,82fde23caaec3834,ExpertA,train
PUB-0212,82fde23caaec3834,ExpertA,train
PUB-0253,a8625670b32d67c7,ExpertA,train
PUB-0254,a8625670b32d67c7,ExpertA,train
PUB-0255,a8625670b32d67c7,ExpertA,train
PUB-0256,a8625670b32d67c7,ExpertA,train
PUB-0109,31d06f6b69a59b4d,ExpertA,train
PUB-0110,31d06f6b69a59b4d,ExpertA,train
PUB-0111,31d06f6b69a59b4d,ExpertA,train
PUB-0112,31d06f6b69a59b4d,ExpertA,train
PUB-0173,c102f3f4d8e0912d,ExpertA,train
PUB-0174,c102f3f4d8e0912d,ExpertA,train
PUB-0175,c102f3f4d8e0912d,ExpertA,train
PUB-0176,c102f3f4d8e0912d,ExpertA,train
PUB-0169,dea6b71367835b7f,ExpertA,train
PUB-0170,dea6b71367835b7f,ExpertA,train
PUB-0171,dea6b71367835b7f,ExpertA,train
PUB-0172,dea6b71367835b7f,ExpertA,train
PUB-0061,32e02c81faadd45b,ExpertA,train
PUB-0062,32e02c81faadd45b,ExpertA,train
PUB-0063,32e02c81faadd45b,ExpertA,train
PUB-0064,32e02c81faadd45b,ExpertA,train
PUB-0193,bb6361ef5bf1f531,ExpertA,train
PUB-0194,bb6361ef5bf1f531,ExpertA,train
PUB-0195,bb6361ef5bf1f531,ExpertA,train
PUB-0196,bb6361ef5bf1f531,ExpertA,train
PUB-0297,4a1998ab421725d6,ExpertA,train
PUB-0298,4a1998ab421725d6,ExpertA,train
PUB-0299,4a1998ab421725d6,ExpertA,train
PUB-0300,4a1998ab421725d6,ExpertA,train
PUB-0141,cf69c5d9c10f3392,ExpertA,train
PUB-0142,cf69c5d9c10f3392,ExpertA,train
PUB-0143,cf69c5d9c10f3392,ExpertA,train
PUB-0144,cf69c5d9c10f3392,ExpertA,train
PUB-0301,96359a3990877d31,ExpertA,train
PUB-0302,96359a3990877d31,ExpertA,train
PUB-0303,96359a3990877d31,ExpertA,train
PUB-0304,96359a3990877d31,ExpertA,train
PUB-0153,a1065115d8a91c9e,ExpertA,train
PUB-0154,a1065115d8a91c9e,ExpertA,train
PUB-0155,a1065115d8a91c9e,ExpertA,train
PUB-0156,a1065115d8a91c9e,ExpertA,train
PUB-0157,b7209328128c5bb4,ExpertA,train
PUB-0158,b7209328128c5bb4,ExpertA,train
PUB-0159,b7209328128c5bb4,ExpertA,train
PUB-0160,b7209328128c5bb4,ExpertA,train
PUB-0365,077c4b123d405cbb,ExpertA,train
PUB-0366,077c4b123d405cbb,ExpertA,train
PUB-0367,077c4b123d405cbb,ExpertA,train
PUB-0368,077c4b123d405cbb,ExpertA,train
PUB-0321,c07066f093b7eefb,ExpertA,train
PUB-0322,c07066f093b7eefb,ExpertA,train
PUB-0323,c07066f093b7eefb,ExpertA,train
PUB-0324,c07066f093b7eefb,ExpertA,train
PUB-0349,a382bba61057a1a5,ExpertA,train
PUB-0350,a382bba61057a1a5,ExpertA,train
PUB-0351,a382bba61057a1a5,ExpertA,train
PUB-0352,a382bba61057a1a5,ExpertA,train
PUB-0009,6743cef7ab9fd051,ExpertA,train
PUB-0010,6743cef7ab9fd051,ExpertA,train
PUB-0011,6743cef7ab9fd051,ExpertA,train
PUB-0012,6743cef7ab9fd051,ExpertA,train
PUB-0097,d0fc962b86612307,ExpertA,train
PUB-0098,d0fc962b86612307,ExpertA,train
PUB-0099,d0fc962b86612307,ExpertA,train
PUB-0100,d0fc962b86612307,ExpertA,train
PUB-0293,09e48c5715055ebf,ExpertA,train
PUB-0294,09e48c5715055ebf,ExpertA,train
PUB-0295,09e48c5715055ebf,ExpertA,train
PUB-0296,09e48c5715055ebf,ExpertA,train
PUB-0237,480caa7f875a36c0,ExpertA,train
PUB-0238,480caa7f875a36c0,ExpertA,train
PUB-0239,480caa7f875a36c0,ExpertA,train
PUB-0240,480caa7f875a36c0,ExpertA,train
PUB-0029,26d2c7b8c5d02b01,ExpertA,train
PUB-0030,26d2c7b8c5d02b01,ExpertA,train
PUB-0031,26d2c7b8c5d02b01,ExpertA,train
PUB-0032,26d2c7b8c5d02b01,ExpertA,train
PUB-0113,370ef75dffeaf533,ExpertA,train
PUB-0114,370ef75dffeaf533,ExpertA,train
PUB-0115,370ef75dffeaf533,ExpertA,train
PUB-0116,370ef75dffeaf533,ExpertA,train
PUB-0145,89adadb8212753c4,ExpertA,train
PUB-0146,89adadb8212753c4,ExpertA,train
PUB-0147,89adadb8212753c4,ExpertA,train
PUB-0148,89adadb8212753c4,ExpertA,train
PUB-0305,9c00427029eeb410,ExpertA,train
PUB-0306,9c00427029eeb410,ExpertA,train
PUB-0307,9c00427029eeb410,ExpertA,train
PUB-0308,9c00427029eeb410,ExpertA,train
PUB-0381,7efcc367f4088d8b,ExpertA,train
PUB-0382,7efcc367f4088d8b,ExpertA,train
PUB-0383,7efcc367f4088d8b,ExpertA,train
PUB-0384,7efcc367f4088d8b,ExpertA,train
PUB-0013,ac252293dc60b882,ExpertA,train
PUB-0014,ac252293dc60b882,ExpertA,train
PUB-0015,ac252293dc60b882,ExpertA,train
PUB-0016,ac252293dc60b882,ExpertA,train
PUB-0353,b48d6b29aa746b00,ExpertA,train
PUB-0354,b48d6b29aa746b00,ExpertA,train
PUB-0355,b48d6b29aa746b00,ExpertA,train
PUB-0356,b48d6b29aa746b00,ExpertA,train
PUB-0309,7509b6559a0334a4,ExpertA,train
PUB-0310,7509b6559a0334a4,ExpertA,train
PUB-0311,7509b6559a0334a4,ExpertA,train
PUB-0312,7509b6559a0334a4,ExpertA,train
PUB-0201,dbbe127cc45d0ba3,ExpertA,train
PUB-0202,dbbe127cc45d0ba3,ExpertA,train
PUB-0203,dbbe127cc45d0ba3,ExpertA,train
PUB-0204,dbbe127cc45d0ba3,ExpertA,train
PUB-0281,c8342623ae1b4d0c,ExpertA,train
PUB-0282,c8342623ae1b4d0c,ExpertA,train
PUB-0283,c8342623ae1b4d0c,ExpertA,train
PUB-0284,c8342623ae1b4d0c,ExpertA,train
PUB-0017,344a0b4e23bb16a9,ExpertA,train
PUB-0018,344a0b4e23bb16a9,ExpertA,train
PUB-0019,344a0b4e23bb16a9,ExpertA,train
PUB-0020,344a0b4e23bb16a9,ExpertA,train
PUB-0177,5680276434fe0501,ExpertA,train
PUB-0178,5680276434fe0501,ExpertA,train
PUB-0179,5680276434fe0501,ExpertA,train
PUB-0180,5680276434fe0501,ExpertA,train
PUB-0197,0e9812c8198731aa,ExpertA,train
PUB-0198,0e9812c8198731aa,ExpertA,train
PUB-0199,0e9812c8198731aa,ExpertA,train
PUB-0200,0e9812c8198731aa,ExpertA,train
PUB-0269,c205631da13e4aa0,ExpertA,train
PUB-0270,c205631da13e4aa0,ExpertA,train
